Date,Open,High,Low,Close,Adj Close,Volume
2/22/2021,56.099998,56.939999,55.830002,56.34,51.642536,192300
2/23/2021,58,58.400002,57.349998,58.23,53.37495,267900
2/24/2021,57.32,57.540001,56.689999,57.490002,52.696655,157800
2/25/2021,58.009998,58.09,56.970001,57.119999,52.357502,108300
2/26/2021,55.580002,55.650002,54.540001,55.02,50.432594,170700
3/1/2021,55.549999,55.68,54.759998,54.919998,50.340931,122100
3/2/2021,53.880001,54.25,53.639999,53.779999,49.295982,140500
3/3/2021,55.700001,55.82,55.209999,55.599998,50.964233,129200
3/4/2021,55.540001,56.77,55.450001,55.880001,51.22089,126700
3/5/2021,56.93,57.360001,56.32,57.200001,52.430832,168300
3/8/2021,57.5,57.900002,57,57.41,52.623322,148700
3/9/2021,56.77,57,56.27,56.349998,51.651699,150000
3/10/2021,55.880001,55.880001,55.200001,55.669998,51.028397,189700
3/11/2021,56,56.540001,55.869999,56.080002,51.404217,140000
3/12/2021,55.5,56.09,55.18,56.09,51.41338,143100
3/15/2021,57.169998,57.810001,56.73,57.650002,52.843315,159800
3/16/2021,57.23,57.439999,56.869999,57.349998,52.568325,94600
3/17/2021,56.450001,56.540001,55.93,56.41,51.706699,126500
3/18/2021,55.880001,55.919998,54.299999,54.470001,49.928452,149000
3/19/2021,53.48,53.48,52.299999,53.290001,48.846836,295200
3/22/2021,53.290001,53.290001,52.720001,52.790001,48.388527,70100
3/23/2021,52.549999,52.610001,51.759998,51.959999,47.627728,151000
3/24/2021,51.860001,53.130001,51.830002,52.27,47.911884,136100
3/25/2021,51.34,51.68,50.540001,51.560001,47.261082,136300
3/26/2021,51.639999,55,51.580002,53.080002,48.654346,271300
3/29/2021,54.349998,54.549999,53.709999,53.759998,49.277645,202800
3/30/2021,53.880001,54.09,53.400002,53.490002,49.030163,108900
3/31/2021,53.220001,53.220001,52.599998,52.73,48.333527,141100
4/1/2021,53.52,53.91,53.02,53.720001,49.240986,117200
4/5/2021,53.900002,53.93,52.77,52.84,48.434353,93000
4/6/2021,52.959999,53.52,52.779999,52.919998,48.507683,81000
4/7/2021,52.610001,52.66,52.240002,52.43,48.05854,67600
4/8/2021,52.849998,52.950001,52.25,52.669998,48.27853,115200
4/9/2021,52.360001,52.450001,51.759998,51.799999,47.481068,62300
4/12/2021,52.200001,52.529999,52.02,52.25,47.893551,81200
4/13/2021,53.200001,53.880001,53.200001,53.630001,49.158489,125200
4/14/2021,54.560001,55.189999,54.549999,54.84,50.267601,99500
4/15/2021,54.52,54.740002,53.849998,54.119999,49.607632,113500
4/16/2021,54.869999,55.130001,54.490002,54.709999,50.148441,84500
4/19/2021,54.790001,54.880001,54.630001,54.880001,50.304268,67700
4/20/2021,54.59,54.59,53.259998,53.330002,48.883503,264800
4/21/2021,51.959999,51.98,51.080002,51.470001,47.178585,244200
4/22/2021,51.330002,51.369999,50.790001,51.080002,46.821102,241100
4/23/2021,50.84,50.93,50.450001,50.810001,46.573612,133200
4/26/2021,50.68,50.919998,50.470001,50.889999,46.646938,79500
4/27/2021,50.759998,50.900002,50.599998,50.860001,46.619446,115700
4/28/2021,50.790001,51.52,50.400002,51.240002,46.967758,117800
4/29/2021,51.810001,51.810001,51.040001,51.310001,47.031925,124300
4/30/2021,50.259998,50.259998,49.07,49.189999,45.088684,180700
5/3/2021,50.389999,50.810001,50.049999,50.810001,46.573612,102400
5/4/2021,51.919998,52.130001,51.049999,51.700001,47.389408,214600
5/5/2021,52.299999,53.049999,52.139999,52.799999,48.39769,130000
5/6/2021,52.75,52.790001,52.220001,52.720001,48.324364,119600
5/7/2021,53.049999,53.700001,53.049999,53.66,49.185989,115700
5/10/2021,54.18,54.540001,53.93,54.060001,49.552639,104600
5/11/2021,52.959999,53.259998,52.509998,52.84,48.434353,97300
5/12/2021,53.369999,53.830002,52.720001,52.869999,48.461853,140800
5/13/2021,52.299999,52.630001,51.740002,52.209999,47.85688,88600
5/14/2021,52.009998,52.799999,52.009998,52.66,48.269363,69500
5/17/2021,52.66,52.939999,52.41,52.900002,48.489357,88200
5/18/2021,54.049999,54.32,53.700001,54,49.497639,121000
5/19/2021,53.68,53.970001,53.150002,53.779999,49.295982,95800
5/20/2021,52.900002,53.040001,52.52,52.610001,48.223534,87000
5/21/2021,53.009998,53.330002,52.599998,52.68,48.287697,63700
5/24/2021,52.900002,53.099998,52.73,53.099998,48.672676,47500
5/25/2021,53.23,53.48,52.919998,52.93,48.516853,100800
5/26/2021,52.849998,53.07,52.689999,53.040001,48.617683,62300
5/27/2021,53.700001,53.880001,53.360001,53.639999,49.167652,95400
5/28/2021,53.959999,54.23,53.91,54,49.497639,132600
6/1/2021,54.990002,55,54.599998,54.880001,50.304268,147000
6/2/2021,55,55.5,54.77,55.439999,50.817574,104900
6/3/2021,54.880001,55.220001,54.630001,54.860001,50.285938,117800
6/4/2021,55.23,55.619999,55.099998,55.599998,50.964233,123300
6/7/2021,55.599998,55.77,55.060001,55.080002,50.487591,269500
6/8/2021,52.59,52.970001,52.18,52.939999,50.339252,181600
6/9/2021,53.48,53.880001,53.139999,53.150002,50.53894,152800
6/10/2021,53.310001,53.700001,53,53.310001,50.691078,92900
6/11/2021,54.23,54.360001,53.630001,53.869999,51.223568,152000
6/14/2021,53.869999,54.73,53.869999,54.5,51.822617,164800
6/15/2021,54,54.330002,53.68,53.950001,51.299637,144500
6/16/2021,53.950001,53.950001,53.23,53.459999,50.83371,90500
6/17/2021,53.27,53.310001,52.27,52.700001,50.111046,139100
6/18/2021,51.580002,51.580002,50.66,50.66,48.171265,252300
6/21/2021,50.880001,51.560001,50.880001,51.439999,48.912945,82600
6/22/2021,52.549999,52.560001,52.18,52.330002,49.759224,171300
6/23/2021,52.740002,53.119999,52.48,52.490002,49.911366,70100
6/24/2021,53.209999,53.360001,52.919998,53.32,50.700588,106300
6/25/2021,53.110001,53.299999,53.080002,53.23,50.615009,61200
6/28/2021,53.380001,53.380001,52.380001,52.59,50.006451,87100
6/29/2021,51.419998,51.419998,50.720001,51.02,48.513577,122200
6/30/2021,51.009998,51.189999,50.779999,51.009998,48.504066,91700
7/1/2021,51.84,52.549999,51.66,52.07,49.511993,112000
7/2/2021,51,51.27,50.509998,51.23,48.713261,110400
7/6/2021,50.5,50.740002,49.119999,49.369999,46.944633,148400
7/7/2021,49.41,49.66,48.779999,48.990002,46.583305,252700
7/8/2021,47.959999,48,47.57,47.849998,45.499306,222400
7/9/2021,48.009998,48.189999,47.200001,48.07,45.7085,360000
7/12/2021,47.450001,47.57,47.049999,47.150002,44.833698,210700
7/13/2021,48.009998,48.290001,47.84,48.209999,45.841621,211300
7/14/2021,48.59,48.720001,47.939999,48,45.641937,152200
7/15/2021,48.16,48.23,48.02,48.09,45.727516,141600
7/16/2021,48.32,48.349998,47.369999,47.439999,45.109447,143100
7/19/2021,46.380001,46.490002,45.919998,46.450001,44.168087,177500
7/20/2021,45.860001,46.290001,45.619999,46.169998,43.90184,145200
7/21/2021,46.240002,47.16,46.029999,46.84,44.538925,193900
7/22/2021,47.310001,47.450001,47,47.290001,44.96682,193000
7/23/2021,46.939999,46.939999,46.240002,46.549999,44.263172,166000
